or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik
CHRISTENSEN CARLA L,MICRON TECHNOLOGY INC,2021-03-15,22,,723125.0
CHUMSAE CHRISTOPHER,ABBVIE INC,2014-09-03,21,,1551152.0
CHUN SUNGDUCK,LG ELECTRONICS INC,2009-07-28,24,,2058873.0
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD,CIRRUS LOGIC INC,2015-03-29,60,1940941.0,772406.0
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD,CIRRUS LOGIC INC,2015-04-07,728,1940941.0,772406.0
CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD,CIRRUS LOGIC INC,2017-06-05,42,1940941.0,772406.0
CLARK THOMAS R,MOHAWK INDUSTRIES INC,2012-12-24,22,,851968.0
CLEARWATER NETWORKS INC,MIPS TECHNOLOGIES INC,2002-12-17,26,,1321834.0
CLEVERSAFE INC,INTERNATIONAL BUSINESS MACHINES CORPORATION,2015-11-06,73,,51143.0
CLEVERSAFE INC,INTERNATIONAL BUSINESS MACHINES CORPORATION,2016-04-05,52,,51143.0
CLOUTIER BRUCE S,DYNAMICS INC,2008-12-18,37,,1022671.0
CODD DANIEL SHAWN,DEXCOM INC,2005-03-08,21,,1093557.0
COMPX INTERNATIONAL INC,WATERLOO FURNITURE COMPONENTS LIMITED,2011-03-24,22,1049606.0,
CONEXANT SYSTEMS INC,MINDSPEED TECHNOLOGIES INC,2003-06-27,33,,1321834.0
CONEXANT SYSTEMS INC,SIRF TECHNOLOGY HOLDINGS INC,2001-09-21,25,,1779474.0
CONNELL GARY WAYNE,EASTMAN CHEMICAL COMPANY,2006-03-24,43,,915389.0
CONOCOPHILLIPS COMPANY,CHINA PETROLEUM CHEMICAL CORPORATION,2007-07-31,23,1163165.0,1123658.0
CONSERT INC,LANDISGYR TECHNOLOGY INC,2017-03-10,21,,1779474.0
CONSTANTIN TUDOR POMPILIU,NATERA INC,2015-04-20,32,,1604821.0
CONVATEC INC,CONVATEC TECHNOLOGIES INC,2008-10-28,30,,1321834.0
CONVIDA WIRELESS LLC,INTERDIGITAL PATENT HOLDINGS INC,2022-04-09,79,,1405495.0
COOKE EVAN,TWILIO INC,2012-10-03,23,,1447669.0
COOPER THOMAS G,INTUITIVE SURGICAL INC,2007-11-14,25,,1035267.0
CORBIN THOMAS C,PIONEER HIBRED INTERNATIONAL INC,2010-04-23,21,,105319.0
CORBIN THOMAS C,PIONEER HIBRED INTERNATIONAL INC,2013-02-06,20,,105319.0
CORNING PHOTONIC TECHNOLOGIES INC,AVANEX CORPORATION,2003-07-31,140,1321834.0,
COSTER DANIEL J,APPLE COMPUTER INC,2005-10-18,22,,320193.0
COSTER DANIEL J,APPLE INC,2007-12-20,35,,320193.0
COSTER DANIEL J,APPLE INC,2014-12-09,21,,320193.0
COSTER DANIEL J,APPLE INC,2015-01-21,39,,320193.0
COTTELL JEROMY J,GILEAD SCIENCES INC,2013-10-09,23,,882095.0
CRADDOCK DAVID F,INTERNATIONAL BUSINESS MACHINES CORPORATION,2015-10-02,25,,51143.0
CRAWFORD EMMETT DUDLEY,EASTMAN CHEMICAL COMPANY,2006-03-24,43,,915389.0
CRAY INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2020-07-30,36,,1645590.0
CREAMER THOMAS E,INTERNATIONAL BUSINESS MACHINES CORPORATION,2003-12-15,20,,51143.0
CRONIN CHRISTOPHER J,VIASAT INC,2017-09-13,23,,797721.0
