permno,cik
18547,0001505065
18550,0000794367
18553,0001398805
18556,0001743745
18558,0001750153
18561,0001426332
18566,0001397702
18568,0001566610
18572,0001655210
18576,0001543151
18580,0001517413
18606,0000008793
18623,0000012960
18643,0001641631
18644,0001697532
18646,0001633070
18649,0000078890
18650,0000354655
18656,0001676725
18664,0001661059
18670,0001178697
18676,0001756262
18677,0001563880
18681,0000100030
18719,0001754820
18727,0001766502
18729,0000021665
18734,0001764925
18736,0001745041
18769,0001478320
18770,0001743881
18773,0001621221
18774,0001532346
18775,0001738177
18781,0001806524
18782,0001714798
18783,0001527753
18785,0001623526
18787,0001540184
18789,0001636422
18796,0000095301
18806,0001285550
18817,0000003662
18832,0001447362
18834,0000013370
18835,0001883685
18838,0001680581
18839,0001434265
18840,0001752828
18846,0001759425
18855,0001698530
18884,0000062758
18886,0001773383
18894,0000925741
18896,0001742692
18899,0001196298
18907,0001775625
18908,0001770787
18909,0001477333
18911,0001561550
18914,0000013522
18921,0000083604
18940,0001639825
18948,0001024478
18955,0001496323
18960,0001692830
18961,0001773427
18963,0001274737
18973,0000746598
18980,0000002310
18999,0000022290
19001,0001776985
19005,0001340476
19008,0001703647
19014,0001598599
19016,0001720725
19018,0001628808
19019,0000716644
19021,0001673772
19022,0001762303
19024,0001553643
19032,0001706431
19034,0001780097
19035,0000047744
19043,0000062348
19051,0000099189
19067,0001757097
19070,0001785173
19074,0001351172
19081,0001451809
19082,0001561921
19131,0000757011
19140,0001785592
19142,0001645469
19149,0001477845
19159,0000014029
19166,0000037785
19174,0000040638
19176,0001701541
19178,0001786431
19179,0001574232
19184,0001787306
19193,0001778016
19200,0001490978
19201,0001628171
19202,0001598674
19228,0001745999
19230,0001835059
19238,0000106618
19254,0000030099
19271,0000014177
19283,0001790982
19289,0000065195
19313,0001672619
19334,0000106752
19338,0001801661
19347,0001794621
19349,0001664710
19350,0000315189
19353,0001796280
19358,0001531048
19377,0000008960
19391,0001771910
19393,0000014272
19402,0001327273
19414,0000041234
19456,0001801170
19479,0001763950
19484,0001649094
19485,0001746473
19486,0001580063
19487,0001611842
19488,0001599901
19494,0001104038
19499,0001787400
19501,0001812364
19502,0001618921
19506,0001806837
19533,0001804176
19537,0000070866
19544,0001528115
19553,0000093397
19558,0001809196
19559,0001693011
19560,0001808865
19561,0000012927
19563,0001756594
19566,0001549595
19568,0001661460
19584,0001796898
19585,0001815442
19596,0000100517
19597,0000015056
19599,0001811414
19606,0001811063
19617,0000807862
19619,0001522860
19620,0001808805
19623,0001809122
19628,0001816736
19639,0001739614
19640,0001729750
19645,0001807983
19647,0001795251
19650,0001029125
19653,0001484612
19654,0001640147
19656,0001800667
19657,0001393584
19660,0001643269
19665,0001808898
19672,0000913596
19673,0001032975
19677,0000351220
19678,0001314102
19680,0001320350
19681,0001678660
19682,0001699382
19692,0001109304
19721,0001273931
19746,0001477720
19764,0000007377
19773,0000015359
